name,token_id, Color
Lucci #371,371, yellow
Lucci #604,604, green
Lucci #627,627, green
Lucci #728,728, green
Lucci #729,729, red
Lucci #823,823, red
Lucci #816,816, blue
Lucci #819,819, blue
Lucci #820,820, blue
Lucci #826,826, blue
Lucci #969,969, red
Lucci #976,976, green
Lucci #982,982, silver
Lucci #990,990, red
Lucci #993,993, purple
Lucci #994,994, purple
Lucci #904,904, yellow
Lucci #1172,1172, red
Lucci #1092,1092, green
Lucci #1099,1099, yellow
Lucci #1226,1226, black
Lucci #1191,1191, yellow
Lucci #1248,1248, green
